id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,number_of_reviews,calculated_host_listings_count,availability_365
26899281,Friendly apartment in Cambridge Belmont Line,42870949,Kathy,Strawberry Hill,42.39028,-71.16309,Private room,74,14,2,141
26978504,Your own private bed bath and officebonus room,15692612,Michaela,North Cambridge,42.39319,-71.12488,Private room,99,1,1,0
27017697,CLOSE to HARVARDMIT,15154687,John,WellingtonHarrington,42.3716,-71.08976,Entire homeapt,141,92,20,346
27083472,Perfect Location Top Floor Apt,6839881,Lisan,The Port,42.36745,-71.10105,Private room,76,1,6,0
27168524,Classic Boston Brownstone  Walk to Everything,23576640,Gearoid Griff,Area 2MIT,42.34637,-71.07145,Private room,135,243,1,38
27169088,Sunny 2nd Floor  3 Bedrooms with a Porch,64899249,Maria  ,WellingtonHarrington,42.38887,-71.09071,Entire homeapt,264,13,17,206
27223270,Garden Apartment for Vacation  Business Travelers,8510239,Mikkie,North Cambridge,42.41991,-71.14103,Entire homeapt,175,173,1,187
27251319,Spacious 1BR  DeskWiFi  Steps to T  Downtown,163251048,Global Luxury,Area 2MIT,42.352093,-71.060806,Entire homeapt,442,4,10,365
27252588,Beautiful 1BR near T  Downtown  DeskWiFi,163251048,Global Luxury,Area 2MIT,42.352093,-71.060806,Entire homeapt,442,0,10,365
27303018,Lovely room Great location,6839881,Lisan,Neighborhood Nine,42.38863,-71.12571,Private room,64,3,6,175
27323777,Vintage Studio in Beacon Hill Walk Everywhere,95634275,Sophia,East Cambridge,42.35945,-71.06551,Entire homeapt,257,68,14,312
27404136,Sunny 2 Bed Apt By Boston Childrens Hosptial BWH,20079643,Alex  Bcohousing,Area 2MIT,42.33351,-71.10182,Entire homeapt,260,14,11,356
27503349,Grand Victorian gets Contemporary Facelift 2,15903529,Rajib,North Cambridge,42.41411,-71.11771,Private room,169,35,2,154
27505934,R5 LTR Private Room Walk to T Subway,93503221,Lynne,East Cambridge,42.38841,-71.08424,Private room,75,36,7,51
27601683,Garden apt near Tufts  Davis w free parking,32428703,Kolika,North Cambridge,42.40459,-71.13333,Entire homeapt,167,190,1,34
27669626,Downtown Boston Near South Station Bus Terminal,208829554,Ping,Area 2MIT,42.35034,-71.0619,Entire homeapt,178,142,1,184
27680279,Longwood Medical  Condominium,31340713,Kama,Cambridgeport,42.33875,-71.11323,Entire homeapt,129,40,23,166
27702986,Brookline Maple Tree Home,209137029,Rene,Cambridgeport,42.34991,-71.11999,Entire homeapt,170,4,1,68
27757091,ELA Enjoy Harvard campus  Charles River   MIT,209566405,Michelle,West Cambridge,42.37227,-71.12325,Private room,89,37,3,0
27757751,Cozy Private Room in Harvard Square nr MIT,209566405,Michelle,West Cambridge,42.37446,-71.1229,Private room,89,49,3,0
27757911,RC Charles River  Harvard Sq Cozy Room  MIT,209566405,Michelle,West Cambridge,42.37309,-71.1252,Private room,89,42,3,0
27769361,Newly renovated Brookline 1bd Apartment,3124849,Jessica,Cambridgeport,42.33795,-71.11977,Entire homeapt,200,91,1,218
27897602,One Bedroom Short Walk to Harvard Rm 4,51079261,Riverside,MidCambridge,42.36946,-71.10798,Private room,100,1,25,0
27898877,Room For Two Short Walk To Harvard RM 7,51079261,Riverside,Riverside,42.3673,-71.10688,Private room,120,7,25,0
27904192,Large 2 Bed 2 Bath  Modern Building  Across MGH,20079643,Alex  Bcohousing,East Cambridge,42.364277,-71.068024,Entire homeapt,330,6,11,219
27908078,Sunny Clean near Tufts U 13min walk to Davis Sq T,1516601,Yuan,North Cambridge,42.40096283,-71.11354065,Private room,66,40,3,7
28050946,Garden Retreat,211897787,Sandra,Agassiz,42.38372,-71.10939,Private room,110,56,1,326
28178013,Quiet and Close to Everything 2 Bedroom apartment,36085037,LIsa,North Cambridge,42.39055,-71.12674,Entire homeapt,175,1,1,0
28180866,Somerville Private Roombathroom and car parking,104589492,Rachel,Agassiz,42.38682,-71.10383,Entire homeapt,98,58,2,44
28195363,Loft room great location in Cambridge,6839881,Lisan,Neighborhood Nine,42.38846,-71.12551,Private room,77,0,6,0
28201782,3BR Spacious home close to Boston with parking,163269606,Marie,East Cambridge,42.38947,-71.0808,Entire homeapt,289,115,1,157
28215021,The Blue Room,136163630,Jenny,WellingtonHarrington,42.37697,-71.09656,Private room,99,93,5,17
28282525,Cambridge Loft near  Harvard Square  min 2 months,55152664,Sophie,Neighborhood Nine,42.38335,-71.13245,Entire homeapt,170,0,4,80
28298193,Luxury North End Waterfront walk to MGH Subway,180283497,Michelle,East Cambridge,42.36573,-71.05145,Entire homeapt,135,0,8,326
28360335,Open Back Bay 1BR w Gym nr the Common,107434423,Blueground,Area 2MIT,42.34992,-71.06943,Entire homeapt,378,1,383,121
28440873,North end Luxury Condo  Walk To It All,214706437,Rachel,East Cambridge,42.36662,-71.05574,Entire homeapt,198,110,2,52
28463949,Apartment  near Harvard  min 3 months,55152664,Sophie,West Cambridge,42.3809,-71.13308,Entire homeapt,180,0,4,0
28489121,Harvard Sq Riverside wparking Walk HBSHLSMITBU,184906834,Janice,Riverside,42.3686,-71.11414,Entire homeapt,220,193,4,41
28542114,Somerville Apartment,91872854,FionntÃÂÃÂ¡n,North Cambridge,42.39292,-71.09915,Private room,64,51,2,159
28667379,Private bedrmbathkitchn w sepentry in ownerApt,7421025,Doriana,Riverside,42.36857,-71.11022,Private room,60,0,2,130
28801153,Room For Two Short Walk To Harvard Rm 9,51079261,Riverside,Riverside,42.36796,-71.10858,Private room,120,10,25,0
28832386,Apartment near Harvard  minimum 2 months,55152664,Sophie,West Cambridge,42.3817,-71.13248,Entire homeapt,190,0,4,170
28833374,Lovely Family Home  min 3 months,55152664,Sophie,West Cambridge,42.38084,-71.13392,Entire homeapt,300,0,4,0
